 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)NII[6548A]	 #6)EW_NII[6548A]	 #7)NII[6584A]	 #8)EW_NII[6584A]	 #9)SII[6716A]	 #10)EW_SII[6716A]	 #11)SII[6731A]	#12)EW_SII[6731A]	 #13)OI[6300A]	 #14)EW_OI[6300A]	 #15)OIII[4959A]	#16)EW_OIII[4959A]	#17)OIII[5007A]	#18)EW_OIII[5007A]	#19)Ha[6563A]	#20)EW_Ha[6563A]	#21)Hb[4861A]	#22)EW_Hb[4861A]	#23)HeII[4686A]	#24)EW_HeII[4686A]
                    1 -3.5	0.0   6.0000000000000000        4.1793507052655556E+039   250.76374601279016        1.2334138362854392E+040   745.63374638709536        1.6676650071057380E+040   1035.1835885715129        1.1484413366763601E+040   708.99280122882681        1.3649250867206011E+039   75.890087462865310        1.0165033540672364E+039   32.767720145601110        3.0556866442036316E+039   101.24305752431586        5.2857767457785425E+040   2957.5605325144707        1.7543200057843714E+040   548.62811898149175        3.6652940003651180E+036  0.10055925241329873     
                    2 -3.5	0.0   6.0999999046325684        3.9142741166000988E+039   218.02767312523318        1.1551841888611620E+040   647.83477365289309        1.5583005933304569E+040   906.91621261167359        1.0706591577328088E+040   635.37691082912693        1.1367140710390513E+039   59.129147073972327        7.4929224198584157E+038   22.329332712179209        2.2576220389792656E+039   69.084466486315875        5.5163426664771977E+040   2969.1504541140334        1.8266327336328634E+040   525.70480703989574        2.3694701177693058E+036   5.9546420236282621E-002
                    3 -3.5	0.0   6.1999998092651367        3.7759011718349235E+039   206.96974898096238        1.1143474377299658E+040   615.36311438393625        1.4928652840196586E+040   839.38894693421923        1.0257006218427897E+040   578.31996918919572        1.0209879555631434E+039   51.230785762272298        6.1662427637215216E+038   17.566799121857127        1.8578926593687026E+039   54.371759461369223        5.6107461329827964E+040   2974.8163239236701        1.8536196248276103E+040   509.24912018139344        1.1722510186845227E+036   2.7975550711098956E-002
                    4 -3.5	0.0   6.3000001907348633        3.4244586260357292E+039   175.92896163305994        1.0106293893493934E+040   523.11368066410819        1.3664442688971021E+040   734.38931739653776        9.3884073219752120E+039   496.04392573397621        8.2907138029787708E+038   39.493483877703497        4.2617887975080243E+038   11.290953976288087        1.2840795320700606E+039   35.066997047983357        5.6181318006191606E+040   2983.1355378942408        1.8517908057771072E+040   473.15437383851111        5.1593135638495814E+035   1.1375230768784142E-002
                    5 -3.5	0.0   6.4000000953674316        2.2836645035601636E+039   106.67083475666254        6.7395717535172612E+039   325.09916838519939        9.8999340488078551E+039   490.19337825031874        6.7706802032976898E+039   333.56075782676453        4.5986705893690464E+038   19.786870245294029        1.5690338079769565E+038   3.4996591329752325        4.7275083155862605E+038   10.877631287297190        4.9731585061789839E+040   2264.2575854657589        1.6241730555824069E+040   346.64635192900562        1.1712033378678184E+035   2.1478556372932730E-003
                    6 -3.5	0.0   6.5000000000000000        2.3137209420485701E+039   79.602454848613547        6.8282745921049769E+039   244.18749730458211        1.0311241948721030E+040   378.06363890676931        7.0682349559530542E+039   261.92554411677668        6.7656725943572370E+038   21.067964517691294        3.8575447912514930E+038   6.0054461531805625        1.1622805694608546E+039   18.777141342186429        3.9022130547172987E+040   1491.9992426410597        1.2802977359773117E+040   194.20294185753249        9.4473711520236993E+035   1.1663133971436750E-002
                    7 -3.5	0.0   6.5999999046325684        1.7673032476075599E+039   74.937962154747254        5.2156816506568957E+039   225.72780119873650        7.8399099708680682E+039   354.69451763088523        5.3865547135363446E+039   244.11638393347761        5.6664501899030093E+038   22.058871345643755        3.4778518307212948E+038   7.0760955158585386        1.0478788517189995E+039   22.162468972200195        2.7246522173358003E+040   1279.6041838069029        8.9394556787809911E+039   177.10995418719173        1.3314077343898223E+034   2.0579874995815730E-004
                    8 -3.5	0.0   6.6999998092651367        7.3477510525002100E+038   31.607654445385219        2.1684750701386253E+039   96.573101316776217        3.4926449067116689E+039   160.78687318193576        2.3941669627307052E+039   109.50445875252214        2.0284038848551811E+038   8.3074623333807427        1.1301977377194689E+038   2.6931965836164742        3.3974606366425302E+038   8.4640836412492018        1.4195622234758147E+040   651.84794297387702        4.6042026836573734E+039   107.68833455286028        2.2864116991052855E+034   4.2814767842209962E-004
                    9 -3.5	0.0   6.8000001907348633        1.5459667255516187E+038   5.8756418916739754        4.5624712645671635E+038   17.591802001692471        8.4178298326896906E+038   34.703232935616860        5.7570518674095640E+038   23.864928167294291        2.7365295501595718E+037   1.0743984985710096        9.9357382589283878E+036  0.28789205573877891        2.9936439228887706E+037  0.90434155501590696        5.3604363332218168E+039   203.00373899528950        1.7029431194381350E+039   49.252962407632964        1.5107762265682192E+033   3.7801125704343696E-005
                   10 -3.5	0.0   6.9000000953674316        1.4348084292193217E+037  0.68113459762236994        4.2344198748107724E+037   2.0269562468900397        1.0251653512993838E+038   5.3825942419230168        6.9790115875912598E+037   3.7048858089640935        2.3976948994022969E+036  0.12262835279790553        7.1251484870253413E+034   2.9472335434181651E-003   2.1468115314627943E+035   9.1834031940905177E-003   1.5768628421790391E+039   75.729943387697347        4.8617645142023609E+038   20.229336348394277        3.8440932957477559E+030   1.4427092293532974E-007
