 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)NII[6548A]	 #6)EW_NII[6548A]	 #7)NII[6584A]	 #8)EW_NII[6584A]	 #9)SII[6716A]	 #10)EW_SII[6716A]	 #11)SII[6731A]	#12)EW_SII[6731A]	 #13)OI[6300A]	 #14)EW_OI[6300A]	 #15)OIII[4959A]	#16)EW_OIII[4959A]	#17)OIII[5007A]	#18)EW_OIII[5007A]	#19)Ha[6563A]	#20)EW_Ha[6563A]	#21)Hb[4861A]	#22)EW_Hb[4861A]	#23)HeII[4686A]	#24)EW_HeII[4686A]
                    1 -3.5	0.0   6.0000000000000000        3.8380385702430976E+039   220.70172391391279        1.1326854840802910E+040   657.08237060306442        1.5314729657533872E+040   924.69024479445090        1.0522267415041508E+040   644.56831079885035        1.1671034016220247E+039   62.889343473488196        8.0187991348774772E+038   24.450095764271314        2.4160690100124306E+039   75.775914028908858        5.1417307979962419E+040   2954.5060243187213        1.7065119540825165E+040   507.16448482309573        2.5357669365600526E+036   6.5240274151166691E-002
                    2 -3.5	0.0   6.0999999046325684        3.5704208492096421E+039   198.00702994277668        1.0537058953269522E+040   569.54908743379826        1.4214101419640644E+040   796.76164916859739        9.7660604885965936E+039   556.94612169616653        9.5657584454759420E+038   47.716308768351524        5.6068560974158344E+038   15.560678019346193        1.6854637246688332E+039   48.118994645119486        5.3545060039212084E+040   2966.9270879173059        1.7689656909943194E+040   476.20275116097730        1.0132565267516489E+036   2.3499283231992771E-002
                    3 -3.5	0.0   6.1999998092651367        3.3745183076173333E+039   180.09737329391893        9.9589095649949051E+039   535.44858444818351        1.3527320775478006E+040   732.02004669052076        9.2728191270386671E+039   509.19195415447717        8.4180555761546682E+038   40.251517839658696        4.4382502748656410E+038   11.683963546883318        1.3372474815015888E+039   36.296897768604907        5.3977378516564873E+040   2230.7364683377277        1.7791468196938665E+040   454.42977968583477        5.6913040609417007E+035   1.2491668437169636E-002
                    4 -3.5	0.0   6.3000001907348633        3.0859312770141306E+039   144.50487941884793        9.1072288575824978E+039   441.94128843733870        1.2717046233623800E+040   636.10838161161757        8.7374811173247653E+039   446.44955772727593        7.1513206315229443E+038   31.426562141408898        3.2838722231546361E+038   7.7429850941080200        9.8943267910223907E+038   24.086400681770527        5.4750268104284333E+040   2990.3196951157393        1.7963305261697020E+040   409.46100099157553        4.7685490059165330E+035   9.3304299686043958E-003
                    5 -3.5	0.0   6.4000000953674316        2.3766991767927554E+039   101.42634760471586        6.9980044731803009E+039   300.73809261578361        1.0350807116719619E+040   463.24889803082965        7.0953564127937244E+039   318.84058937215895        5.0000484859473341E+038   19.288061497244485        1.9677694589271182E+038   3.8560735436165210        5.9289012339568726E+038   12.005803143372413        4.9201032395163125E+040   2255.4187794980662        1.6068458510577199E+040   303.27504551204470        3.8634403896286658E+035   6.2128764820835241E-003
                    6 -3.5	0.0   6.5000000000000000        2.3849320976727399E+039   85.525976544748332        7.0384336116246030E+039   258.91051611278266        1.0555432153043624E+040   401.96708137372792        7.2356244660312631E+039   281.11070631550638        6.3602768289739238E+038   20.580334524119731        3.5113653448566589E+038   5.6321959737064979        1.0579764937171495E+039   17.587934385046335        4.1732655337072957E+040   1491.8412859278810        1.3692287785205722E+040   212.83941643497008        5.3762074528948243E+035   6.8412430579994970E-003
                    7 -3.5	0.0   6.5999999046325684        1.9592752253637121E+039   83.853678745354884        5.7822311226722456E+039   256.63575969198126        8.6515803775211557E+039   397.39280644426208        5.9442278336411994E+039   273.55223150667194        5.9854312525636786E+038   23.382348437579136        3.6315785891848199E+038   7.1313530158576475        1.0941968166519200E+039   22.274536089077831        3.0909746759765195E+040   1278.6210042077739        1.0118017982870469E+040   191.61131128681939        9.5081373552155540E+034   1.4150149163384101E-003
                    8 -3.5	0.0   6.6999998092651367        9.5639344362646200E+038   47.168925402997942        2.8225171551536509E+039   144.11988650827516        4.4018636935918942E+039   234.51464231793130        3.0174257364066659E+039   162.06517062988681        2.7266951787000134E+038   12.391224051140021        1.5018846901794731E+038   3.4486883492115017        4.5147799764286634E+038   10.770723923804637        1.7283694856082309E+040   825.52768661801588        5.6187096495983383E+039   124.48090557813092        6.6778489338694967E+034   1.1706951473992660E-003
                    9 -3.5	0.0   6.8000001907348633        6.2791050257795670E+038   35.378666422229344        1.8530952687287922E+039   108.70601902744193        2.8372509312529495E+039   174.95848471669302        1.9538793691122797E+039   120.89188064313004        2.2024078545371706E+038   11.834738109251468        1.3642618891720520E+038   3.9640097887991530        4.1010753356189254E+038   12.426547508010479        9.6360212093417231E+039   536.53600020764941        3.1397693616372934E+039   87.876245133088190        9.4601440011681598E+033   2.0562303299469299E-004
                   10 -3.5	0.0   6.9000000953674316        3.1752424914527538E+038   21.021754042297392        9.3708049376785236E+038   64.005626814287609        1.4749486398161437E+039   108.13617540274971        1.0157267677992542E+039   75.099089963950632        1.2965130655674761E+038   8.4809848790482647        8.4679229502875320E+037   3.1787217792514331        2.5513902861560254E+038   9.9522065539616218        4.5685343823197648E+039   299.41021720660711        1.4851724953607686E+039   54.121365863100223        7.0271123595491098E+034   2.0793117274004124E-003
