WL,F
4749.707519531249,4553477.5
4750.957519531249,5457208.0
4752.207519531249,5504568.5
4753.457519531249,5395561.5
4754.707519531249,5309838.0
4755.957519531249,5270589.0
4757.207519531249,5301668.5
4758.457519531249,5392130.5
4759.707519531249,5461608.5
4760.957519531249,5344542.0
4762.207519531249,5133890.5
4763.457519531249,5095138.5
4764.707519531249,5084662.5
4765.957519531249,5007867.0
4767.207519531249,5069236.0
4768.457519531249,5231124.5
4769.707519531249,5356962.0
4770.957519531249,5301261.0
4772.207519531249,5201441.0
4773.457519531249,5290892.0
4774.707519531249,5413540.0
4775.957519531249,5407020.0
4777.207519531249,5436433.0
4778.457519531249,5466821.0
4779.707519531249,5407646.5
4780.957519531249,5387818.0
4782.207519531249,5325679.0
4783.457519531249,5191225.0
4784.707519531249,5187645.0
4785.957519531249,5126588.0
4787.207519531249,5041094.5
4788.457519531249,5060589.0
4789.707519531249,5053889.5
4790.957519531249,5098203.0
4792.207519531249,5147945.0
4793.457519531249,5244364.0
4794.707519531249,5360961.0
4795.957519531249,5369587.0
4797.207519531249,5276297.0
4798.457519531249,5124634.0
4799.707519531249,5008420.0
4800.957519531249,5042399.0
4802.207519531249,5166898.5
4803.457519531249,5202818.0
4804.707519531249,5122297.0
4805.957519531249,5063047.0
4807.207519531249,5026102.0
4808.457519531249,4993894.0
4809.707519531249,5047950.0
4810.957519531249,5115986.5
4812.207519531249,5143112.0
4813.457519531249,5149212.5
4814.707519531249,5194070.5
4815.957519531249,5261633.5
4817.207519531249,5274019.0
4818.457519531249,5271797.5
4819.707519531249,5299134.5
4820.957519531249,5281065.5
4822.207519531249,5163870.0
4823.457519531249,4976732.0
4824.707519531249,4980049.5
4825.957519531249,5156468.0
4827.207519531249,5212795.0
4828.457519531249,5135171.0
4829.707519531249,5078326.0
4830.957519531249,5076885.0
4832.207519531249,5056417.0
4833.457519531249,5104074.0
4834.707519531249,5150329.0
4835.957519531249,5146812.0
4837.207519531249,5138821.0
4838.457519531249,5051871.0
4839.707519531249,4897225.0
4840.957519531249,4894638.0
4842.207519531249,4949768.5
4843.457519531249,4936518.0
4844.707519531249,5001426.0
4845.957519531249,5082189.5
4847.207519531249,5044697.0
4848.457519531249,4920283.0
4849.707519531249,4902245.5
4850.957519531249,4955382.0
4852.207519531249,4922404.0
4853.457519531249,4835519.5
4854.707519531249,4609514.0
4855.957519531249,4425203.5
4857.207519531249,4433219.0
4858.457519531249,4332518.0
4859.707519531249,4079813.8
4860.957519531249,5600795.5
4862.207519531249,12342531.0
4863.457519531249,15100778.0
4864.707519531249,8914782.0
4865.957519531249,4802293.5
4867.207519531249,4342827.0
4868.457519531249,4395859.0
4869.707519531249,4352306.0
4870.957519531249,4056917.2
4872.207519531249,3945352.2
4873.457519531249,4215249.5
4874.707519531249,4426075.0
4875.957519531249,4486071.0
4877.207519531249,4490096.5
4878.457519531249,4550345.0
4879.707519531249,4723726.5
4880.957519531249,4742094.5
4882.207519531249,4652169.0
4883.457519531249,4665899.0
4884.707519531249,4571612.0
4885.957519531249,4410397.0
4887.207519531249,4415007.0
4888.457519531249,4446147.5
4889.707519531249,4320114.0
4890.957519531249,4104146.0
4892.207519531249,4217343.5
4893.457519531249,4659085.0
4894.707519531249,4926339.0
4895.957519531249,4967303.0
4897.207519531249,4935537.0
4898.457519531249,4927075.0
4899.707519531249,4847130.0
4900.957519531249,4800144.0
4902.207519531249,4773255.5
4903.457519531249,4683735.0
4904.707519531249,4713008.5
4905.957519531249,4847132.5
4907.207519531249,4864065.5
4908.457519531249,4753544.5
4909.707519531249,4533310.0
4910.957519531249,4420609.0
4912.207519531249,4575619.0
4913.457519531249,4752536.0
4914.707519531249,4856537.5
4915.957519531249,4867317.5
4917.207519531249,4670991.5
4918.457519531249,4282427.0
4919.707519531249,3971483.2
4920.957519531249,4017617.5
4922.207519531249,4354920.0
4923.457519531249,4561234.0
4924.707519531249,4548455.0
4925.957519531249,4637003.0
4927.207519531249,4722480.0
4928.457519531249,4786476.0
4929.707519531249,4853915.0
4930.957519531249,4851974.5
4932.207519531249,4761878.5
4933.457519531249,4517495.0
4934.707519531249,4495068.0
4935.957519531249,4613739.0
4937.207519531249,4516635.0
4938.457519531249,4314648.5
4939.707519531249,4340230.0
4940.957519531249,4619949.5
4942.207519531249,4794286.0
4943.457519531249,4855334.0
4944.707519531249,4822907.0
4945.957519531249,4685971.0
4947.207519531249,4716686.5
4948.457519531249,4824254.0
4949.707519531249,4820928.5
4950.957519531249,4812125.0
4952.207519531249,4787455.5
4953.457519531249,4743056.0
4954.707519531249,4730166.5
4955.957519531249,4555950.5
4957.207519531249,4149535.0
4958.457519531249,4591574.0
4959.707519531249,6850594.0
4960.957519531249,8174417.5
4962.207519531249,6543391.0
4963.457519531249,5035114.5
4964.707519531249,4729206.5
4965.957519531249,4581228.0
4967.207519531249,4553857.0
4968.457519531249,4546968.0
4969.707519531249,4531937.0
4970.957519531249,4567739.0
4972.207519531249,4661977.0
4973.457519531249,4720392.5
4974.707519531249,4753695.5
4975.957519531249,4737259.0
4977.207519531249,4673343.0
4978.457519531249,4567261.0
4979.707519531249,4487957.0
4980.957519531249,4434040.0
4982.207519531249,4197294.5
4983.457519531249,4000094.5
4984.707519531249,4077261.5
4985.957519531249,4345609.0
4987.207519531249,4661091.0
4988.457519531249,4738981.5
4989.707519531249,4614148.5
4990.957519531249,4505039.5
4992.207519531249,4515046.0
