WL,F
4749.707519531249,6104184.0
4750.957519531249,6440795.5
4752.207519531249,6442476.0
4753.457519531249,6360033.0
4754.707519531249,6265868.5
4755.957519531249,6228042.0
4757.207519531249,6261067.0
4758.457519531249,6332024.0
4759.707519531249,6349279.0
4760.957519531249,6207695.0
4762.207519531249,6047559.0
4763.457519531249,5990066.0
4764.707519531249,5897556.0
4765.957519531249,5828652.0
4767.207519531249,5865665.0
4768.457519531249,6018797.0
4769.707519531249,6133421.5
4770.957519531249,6092544.0
4772.207519531249,6059202.5
4773.457519531249,6134916.0
4774.707519531249,6263728.5
4775.957519531249,6291180.0
4777.207519531249,6351646.5
4778.457519531249,6342743.0
4779.707519531249,6291920.5
4780.957519531249,6257344.0
4782.207519531249,6166990.0
4783.457519531249,6073536.0
4784.707519531249,6050201.0
4785.957519531249,5975925.0
4787.207519531249,5923496.0
4788.457519531249,5917372.0
4789.707519531249,5924281.5
4790.957519531249,5973555.0
4792.207519531249,6010204.0
4793.457519531249,6097350.5
4794.707519531249,6245724.0
4795.957519531249,6243459.0
4797.207519531249,6129758.5
4798.457519531249,5968367.0
4799.707519531249,5889746.0
4800.957519531249,5942806.0
4802.207519531249,6045516.0
4803.457519531249,6066002.0
4804.707519531249,5983739.0
4805.957519531249,5919641.0
4807.207519531249,5869390.0
4808.457519531249,5873692.0
4809.707519531249,5922177.0
4810.957519531249,5984928.0
4812.207519531249,6014050.0
4813.457519531249,6034377.0
4814.707519531249,6106827.0
4815.957519531249,6178572.0
4817.207519531249,6185842.0
4818.457519531249,6197217.5
4819.707519531249,6225260.0
4820.957519531249,6196711.0
4822.207519531249,6042926.5
4823.457519531249,5882549.5
4824.707519531249,5916821.5
4825.957519531249,6057692.0
4827.207519531249,6097958.5
4828.457519531249,6044574.5
4829.707519531249,5993369.0
4830.957519531249,5990716.0
4832.207519531249,5988564.5
4833.457519531249,6054433.0
4834.707519531249,6076349.0
4835.957519531249,6075358.0
4837.207519531249,6059224.0
4838.457519531249,5932208.0
4839.707519531249,5809152.5
4840.957519531249,5813717.5
4842.207519531249,5837438.0
4843.457519531249,5833505.0
