F435W,F814W,color
-7.858564400655009,-7.490564370137431,-0.3680000305175781
-7.018564248067118,-6.877565407735087,-0.14099884033203125
-6.875564599019267,-7.028564476948954,0.1529998779296875
-3.0835647821247356,-7.781564736348368,4.697999954223633
-6.815565133076884,-6.6165657281696575,-0.19899940490722656
-6.487564110738017,-6.738565468770243,0.25100135803222656
-6.621564888936259,-6.4745655298054,-0.14699935913085938
-6.397563958150126,-6.56256487367747,0.16500091552734375
-6.154563927632548,-6.6725654840290325,0.5180015563964844
-6.278564476948954,-5.977565789204814,-0.3009986877441406
-5.648565316182353,-5.891565346699931,0.24300003051757812
-5.888565087300517,-5.642564797383525,-0.2460002899169922
-5.902565026265361,-5.43756487367747,-0.4650001525878906
-5.4555645227253216,-6.066564583760478,0.6110000610351562
-5.80156519411204,-5.584564232808329,-0.21700096130371094
-5.832565331441142,-5.614564919453837,-0.2180004119873047
-5.920564675313212,-5.249565148335673,-0.6709995269775391
-5.742565178853251,-5.306564354878642,-0.4360008239746094
-5.697565102559306,-5.40056421754954,-0.2970008850097656
-5.5375652551471966,-5.3175640344440716,-0.220001220703125
-5.464565300923564,-5.494564080220439,0.029998779296875
-5.55156519411204,-5.2745647668659466,-0.27700042724609375
-5.290565514546611,-5.555564904195048,0.2649993896484375
-5.454565072041728,-5.122564339619853,-0.332000732421875
-5.16356470583079,-5.332565331441142,0.16900062561035156
-5.3405647516071575,-4.789564156514384,-0.5510005950927734
-5.2285652398884075,-4.980564141255595,-0.2480010986328125
-5.1495647668659466,-4.857564949971415,-0.29199981689453125
-1.93756487367747,-6.263565087300517,4.326000213623047
-4.889564537984111,-5.184564614278056,0.2950000762939453
-5.232564949971415,-4.842565560322978,-0.3899993896484375
-5.183565163594462,-4.789564156514384,-0.3940010070800781
-5.122564339619853,-4.778564476948954,-0.34399986267089844
-5.003564858418681,-4.790565514546611,-0.2129993438720703
-2.1885643243610637,-5.755565667134501,3.5670013427734375
-5.033565545064189,-4.6365642785846966,-0.3970012664794922
-5.03656389711497,-4.628564858418681,-0.40799903869628906
-1.5815639734089153,-5.725564980488993,4.144001007080078
-4.7025642633259075,-4.522563958150126,-0.18000030517578125
-4.8665657281696575,-4.5375652551471966,-0.32900047302246094
-4.932565712910868,-4.492565178853251,-0.4400005340576172
-4.65056421754954,-4.8665657281696575,0.2160015106201172
-3.0805645227253216,-5.55156519411204,2.4710006713867188
-4.861564660054423,-3.920564675313212,-0.9409999847412109
